name,location,city,state,country,start date,end date,latitude,longitude,site url,register now url,description
East Bay Comic-Con,Hilton Concord,Concord,CA,United States,01/31/2016,,37.952464,-121.987966,http://eastbaycomiccon.com/,,
Baltimore Comic-Con,Baltimore Convention Center,Baltimore,MD,United States,09/02/2016,09/04/2016,39.395897,-76.604846,http://baltimorecomiccon.com/,,
Lexington Comic and Toy Convention,Lexington Center,Lexington,KY,United States,03/11/2016,03/13/2016,38.047427,-84.503278,http://www.lexingtoncomiccon.com/,,
Indiana Comic Con,Indianapolis Convention Center,Indianapolis,IN,United States,04/29/2016,05/01/2016,39.766201,-86.162300,http://indianacomiccon.com/,,
Comicpalooza,"George R. Brown Convention Center, 1001 Avenida de las Americas",Houston,TX,United States,06/17/2016,06/19/2016,,,http://www.comicpalooza.com/,,
Fantasticon Toledo,SeaGate Convention Centre,Toledo,OH,United States,04/16/2016,04/17/2016,,,http://www.fantasticon.net/,,
Awesome Con D.C.,Walter E. Washington Convention Center,Washington,DC,United States,06/03/2016,06/05/2016,,,http://www.awesome-con.com/,,
Montreal Comiccon,1001 Place Jean-Paul-Riopelle,Montreal,QC,Canada,07/08/2016,07/10/2016,45.503860,-73.560969,http://www.montrealcomiccon.com/,,
Garden State Comic Fest,Mennen Sports Arena,Morristown,NJ,United States,07/09/2016,07/10/2016,40.796767,-74.481544,http://gardenstatecomicfest.com/,,
Shoff Promotions Comic Book and Non-Sports Card Show,Crowne Plaza Tysons Corner-Mclean,Tysons Corner,VA,United States,03/13/2016,,38.918722,-77.231093,http://shoffpromotions.com/,,
Motor City Comic Con,Suburban Collection Showplace,Novi,MI,United States,05/13/2016,05/15/2016,42.480590,-83.475491,http://motorcitycomiccon.com,,
Lebanon Comic Con,,Lebanon,MO,United States,04/30/2016,05/01/2016,37.680597,-92.663787,http://www.lebanoncomiccon.com/,,
Steel City Con,"Monroeville Convention Center, 209 Mall Boulevard",Monroeville,PA,United States,04/15/2016,04/17/2016,40.421180,-79.788102,http://www.steelcitycon.com/,,
Silicon Valley Comic Con,San Jose Convention Center,San Jose,CA,United States,03/18/2016,03/20/2016,37.329921,-121.890304,http://svcomiccon.com/,,
Phoenix Comicon,"Phoenix Convention Center, 100 N. 3rd St.",Phoenix,AZ,United States,06/02/2016,06/05/2016,33.449347,-112.069194,http://www.phoenixcomicon.com/,,
Granite State Comicon,Radisson Hotel Manchester Downtown,Manchester,NH,United States,09/17/2016,09/18/2016,42.995640,-71.454789,http://www.granitecon.com/,,
Pensacon,Pensacola Bay Center,Pensacola,FL,United States,02/19/2016,02/21/2016,30.421309,-87.216915,http://pensacon.com/,,
NEO Comic Con,Holiday Inn Cleveland-Strongsville (Arpt),Strongsville,OH,United States,08/14/2016,,41.314497,-81.835690,http://www.neocomiccon.com/,,
Space Coast Nerd Fest,Melbourne Auditorium,Melbourne,FL,United States,04/16/2016,04/17/2016,28.083627,-80.608109,http://www.spacecoastnerdfest.org/,,
Buckeye Comic Con,Courtyard Columbus West,Columbus,OH,United States,07/17/2016,,39.956111,-82.936963,http://www.harpercomics.com/conventions.php,,
Amazing Las Vegas Comic Con,"South Point Hotel, Casino & Spa",Las Vegas,NV,United States,06/18/2016,06/19/2016,36.010557,-115.173807,http://amazinglasvegascomiccon.com/,,
MSU Comics Forum,Michigan State University – Snyder/Phillips Hall,East Lansing,MI,United States,02/26/2016,02/27/2016,42.736979,-84.483865,http://www.comicsforum.msu.edu/,,
Infinity Toy and Comic Con,Holiday Inn Orlando East – UCF Area,Orlando,FL,United States,02/13/2016,,28.538335,-81.379237,http://infinitytoyandcomicon.com/,,
SC Comicon,TD Convention Center,Greenville,SC,United States,04/02/2016,04/03/2016,34.852618,-82.394010,http://sccomicon.com/,,
Dalton Comic Convention (April 2016),Northwest Georgia Trade and Convention Center,Dalton,GA,United States,04/23/2016,,34.769802,-84.970223,http://www.conventionscene.com/2015/10/29/dalton-comic-convention-april-2016/,,
Hudson Valley Comic Con,,Poughkeepsie,NY,United States,05/07/2016,05/08/2016,41.700371,-73.920970,http://www.hvcomiccon.com/,,
